# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Shouying Liu; Sen Ma; Lijuan Yin; Jiong Zhu  |  Land titling, human capital misallocation, and agricultural productivity in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103165)  [single_country; CHN]
Tingting Xie; Ye Yuan  |  Go with the wind: Spatial impacts of environmental regulations on economic activities in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103139)  [single_country; CHN]
Wenya Wang; Ei Yang  |  Multi-product firms and misallocation  (JDE 2023, doi:10.1016/j.jdeveco.2023.103102)  [single_country; CHN]
Xiaolu Li; Lin Ma; Yang Tang  |  Migration and resource misallocation in China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103218)  [single_country; CHN]
Xiaomeng Cui; Qu Tang  |  Extreme heat and rural household adaptation: Evidence from Northeast China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103243)  [single_country; CHN]
Xiaomeng Cui; Zhong Zheng  |  Climate change, cropland adjustments, and food security: Evidence from China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103245)  [single_country; CHN]
Xuwen Gao; Ran Song; Christopher Timmins  |  Information, migration, and the value of clean air  (JDE 2023, doi:10.1016/j.jdeveco.2023.103079)  [single_country; CHN]
Yi Han; Mingqin Wu  |  Inter-regional barriers and economic growth: Evidence from China  (JDE 2023, doi:10.1016/j.jdeveco.2023.103197)  [single_country; CHN]
Yongwei Nian  |  Incentives, penalties, and rural air pollution: Evidence from satellite data  (JDE 2023, doi:10.1016/j.jdeveco.2023.103049)  [single_country; CHN]
Zhi-An Hu; Jinghong Li; Zhuo Nie  |  Long Live friendship? The long-term impact of Soviet aid on Sino-Russian trade  (JDE 2023, doi:10.1016/j.jdeveco.2023.103117)  [single_country; CHN]
Zibin Huang; Xu Jiang; Ang Sun  |  Fertility and delayed migration: How son preference protects young girls against mother–child separation  (JDE 2023, doi:10.1016/j.jdeveco.2023.103191)  [single_country; CHN]
Hongliang Zhang; Junsen Zhang; Ning Zhang  |  Childhood Send-Down Experience and Old-Age Support to Parents: The Twins Experiment in China  (JEEA 2023, doi:10.1093/jeea/jvad011)  [single_country; CHN]
Pauline Rossi; Yun Xiao  |  Spillovers in Childbearing Decisions and Fertility Transitions: Evidence from China  (JEEA 2023, doi:10.1093/jeea/jvad025)  [single_country; CHN]
Taha Choukhmane; Nicolas Coeurdacier; Keyu Jin  |  The One-Child Policy and Household Saving  (JEEA 2023, doi:10.1093/jeea/jvad001)  [single_country; CHN]
Emanuele Colonnelli; Li Bo; Ernest Liu  |  Investing with the Government: A Field Experiment in China  (JPE 2023, doi:10.1086/726237)  [single_country; CHN]
Martin Beraja; Andrew Kao; David Y. Yang; Noam Yuchtman  |  AI-tocracy  (QJE 2023, doi:10.1093/qje/qjad012)  [single_country; CHN]
Gaurav Khanna; Kevin Shih; Ariel Weinberger; Mingzhi Xu; Miaojie Yu  |  Trade Liberalization and Chinese Students in U.S. Higher Education  (RESTAT 2023, doi:10.1162/rest_a_01378)  [multi_country; CHN]
Hanming Fang; Long Wang; Yang Yang  |  Competition and Quality: Evidence from High-Speed Railways and Airlines  (RESTAT 2023, doi:10.1162/rest_a_01294)  [single_country; CHN]
Hongbin Li; Xinyao Qiu  |  Heuristics in Self-Evaluation: Evidence from the Centralized College Admission System in China  (RESTAT 2023, doi:10.1162/rest_a_01331)  [single_country; CHN]
Wei Huang; Yinghao Pan; Yi Zhou  |  One-Child Policy, Marriage Distortion, and Welfare Loss  (RESTAT 2023, doi:10.1162/rest_a_01332)  [single_country; CHN]
Yunong Li; Yi Lu; Jianguo Wang  |  Productivity Gains from Trade: Bunching Estimates from Trading Rights in China  (RESTAT 2023, doi:10.1162/rest_a_01392)  [single_country; CHN]
Yunyi Hu; Haitao Yin; Li Zhao  |  Subsidy Phase-Out and Consumer Demand Dynamics: Evidence from the Battery Electric Vehicle Market in China  (RESTAT 2023, doi:10.1162/rest_a_01295)  [single_country; CHN]
Clément Imbert; Marlon Seror; Yifan Zhang; Yanos Zylberberg  |  Migrants and Firms: Evidence from China  (AER 2022, doi:10.1257/aer.20191234)  [single_country; CHN]
